Store ID,Name,Brand,Store Number,Phone Number,Ownership Type,Street Combined,Street 1,Street 2,Street 3,City,Country Subdivision,Country,Postal Code,Coordinates,Latitude,Longitude,Timezone,Current Timezone Offset,Olson Timezone,First Seen
1,Plaza Hollywood,Starbucks,34638-85784,29554570,LS,"Level 2, Plaza Hollywood, Diamond Hill,, Kowloon","Level 2, Plaza Hollywood, Diamond Hill,",Kowloon,,Hong Kong,91,CN,,"(22.3407001495361, 114.201690673828)",22.340700149536133,114.20169067382813,China Standard Time,480,GMT+08:00 Asia/Beijing,12/08/2013 05:41:59 PM
6,Exchange Square,Starbucks,34601-20281,21473739,LS,"Shops 308-310, 3/F.,, Exchange Square Podium, Central, HK.","Shops 308-310, 3/F.,","Exchange Square Podium, Central, HK.",,Hong Kong,91,CN,,"(22.2839393615723, 114.158187866211)",22.283939361572266,114.15818786621094,China Standard Time,480,GMT+08:00 Asia/Beijing,12/08/2013 05:41:59 PM
8,Telford Plaza,Starbucks,34610-28207,27541323,LS,"Shop Unit G1A, Atrium A, Telford Plaza I, , Kowloon Bay, Kowloon","Shop Unit G1A, Atrium A, Telford Plaza I",", Kowloon Bay, Kowloon",,Kowloon,91,CN,,"(22.3228702545166, 114.213439941406)",22.3228702545166,114.21343994140625,China Standard Time,480,GMT+08:00 Asia/Beijing,12/08/2013 05:41:59 PM
13,Hong Kong Station,Starbucks,34622-64463,25375216,LS,"Concession HOK 3a & b, LAR Hong Kong Station",Concession HOK 3a & b,LAR Hong Kong Station,,Hong Kong,91,CN,,"(22.2844505310059, 114.158462524414)",22.284450531005859,114.15846252441406,China Standard Time,480,GMT+08:00 Asia/Beijing,12/08/2013 05:41:59 PM
17,"Pacific Place, Central",Starbucks,34609-22927,29184762,LS,"Shop 131, Level 1, Pacific Place, 88 Queensway, HK","Shop 131, Level 1, Pacific Place","88 Queensway, HK",,Hong Kong,91,CN,,"(22.2776565551758, 114.164619445801)",22.277656555175781,114.16461944580078,China Standard Time,480,GMT+08:00 Asia/Beijing,12/08/2013 05:41:59 PM
23,Three Garden Road,Starbucks,34616-51681,25091007,LS,"Shop 3, Citibank Plaza,3 Garden Road, Central, HK","Shop 3, Citibank Plaza,3 Garden Road","Central, HK",,Hong Kong,91,CN,,"(22.2785205841064, 114.160873413086)",22.278520584106445,114.16087341308594,China Standard Time,480,GMT+08:00 Asia/Beijing,12/08/2013 05:41:59 PM
25,MTR Central,Starbucks,34630-69462,28400565,LS,"Kiosk Nos. CEN K4-K5, Transfer Concourse, , MTR Central Station","Kiosk Nos. CEN K4-K5, Transfer Concourse",", MTR Central Station",,Hong Kong,91,CN,,"(22.2811298370361, 114.159461975098)",22.281129837036133,114.15946197509766,China Standard Time,480,GMT+08:00 Asia/Beijing,12/08/2013 05:41:59 PM
27,Wan Chai Tower,Starbucks,34615-55880,28240568,LS,"G/F, Wanchai Tower, 12 Harbour Road, Wanchai, HK","G/F, Wanchai Tower, 12 Harbour Road","Wanchai, HK",,Hong Kong,91,CN,,"(22.2800197601318, 114.17261505127)",22.280019760131836,114.17261505126953,China Standard Time,480,GMT+08:00 Asia/Beijing,12/08/2013 05:41:59 PM
34,Shun Tak Centre,Starbucks,34634-82422,25496508,LS,"Shop unit 226-227, 2/F, Shun Tak Centre,, Nos.168-200 Connaught Road Central","Shop unit 226-227, 2/F, Shun Tak Centre,",Nos.168-200 Connaught Road Central,,Hong Kong,91,CN,,"(22.2878608703613, 114.152206420898)",22.287860870361328,114.15220642089844,China Standard Time,480,GMT+08:00 Asia/Beijing,12/08/2013 05:41:59 PM
37,Sun Hung Kai Centre,Starbucks,34605-28027,28457367,LS,"Shop G12-13, G/F. Sun Hung Kai Centre, 30 Harbour Road, Wanchai","Shop G12-13, G/F. Sun Hung Kai Centre","30 Harbour Road, Wanchai",,Wan Chai,91,CN,,"(22.2805519104004, 114.176803588867)",22.280551910400391,114.17680358886719,China Standard Time,480,GMT+08:00 Asia/Beijing,12/08/2013 05:41:59 PM
39,Wafi Mall,Starbucks,34249-62099,04-3243641,LS,"Oud Mina, Shop # 212, Wafi Mall",Oud Mina,"Shop # 212, Wafi Mall",,Dubai,DU,AE,,"(25.2494506835938, 55.2799186706543)",25.24945068359375,55.2799186706543,Arabian Standard Time,240,GMT+04:00 Asia/Dubai,12/08/2013 05:41:59 PM
41,Al Gurrair Mall,Starbucks,34219-17920,04-2212559,LS,Deira- Riqqa Street,Deira- Riqqa Street,,,Dubai,DU,AE,,"(25.2668266296387, 55.3170433044434)",25.266826629638672,55.317043304443359,Arabian Standard Time,240,GMT+04:00 Asia/Dubai,12/08/2013 05:41:59 PM
42,Umm Sequeim,Starbucks,34291-80114,043952230,LS,"Jumeirah, Near Spinney's",Jumeirah,Near Spinney's,,Dubai,DU,AE,,"(25.1678905487061, 55.2284088134766)",25.167890548706055,55.228408813476562,Arabian Standard Time,240,GMT+04:00 Asia/Dubai,12/08/2013 05:41:59 PM
44,Jebel Ali,Starbucks,34292-76574,04-8816680,LS,"Jebel Ali, Near Gate No. 4",Jebel Ali,Near Gate No. 4,,Dubai,DU,AE,,"(24.9915599822998, 55.0934791564941)",24.991559982299805,55.093479156494141,Arabian Standard Time,240,GMT+04:00 Asia/Dubai,12/08/2013 05:41:59 PM
45,Emirates Tower,Starbucks,34211-17922,04-3303363,LS,Sheikh Zayed Road,Sheikh Zayed Road,,,Dubai,DU,AE,,"(25.2148704528809, 55.2826499938965)",25.214870452880859,55.282649993896484,Arabian Standard Time,240,GMT+04:00 Asia/Dubai,12/08/2013 05:41:59 PM
48,Palm Strip,Starbucks,34210-16835,04-3453808,LS,Jumeira 1,Jumeira 1,,,Dubai,DU,AE,,"(25.2327899932861, 55.2636985778809)",25.232789993286133,55.263698577880859,Arabian Standard Time,240,GMT+04:00 Asia/Dubai,12/08/2013 05:41:59 PM
49,Dubai Marina,Starbucks,34315-87671,04-3675468,LS,Sheik Zayed,Sheik Zayed,,,Dubai,DU,AE,,"(25.0842437744141, 55.150089263916)",25.084243774414062,55.150089263916016,Arabian Standard Time,240,GMT+04:00 Asia/Dubai,12/08/2013 05:41:59 PM
50,Marina Mall,Starbucks,34262-62540,02-6815883,LS,Marina Mall,Marina Mall,,,Abu Dhabi,AZ,AE,,"(24.4709606170654, 54.3222885131836)",24.47096061706543,54.322288513183594,Arabian Standard Time,240,GMT+04:00 Asia/Dubai,12/08/2013 05:41:59 PM
51,Abu Dhabi Mall,Starbucks,34227-33225,02-6454914,LS,"Al Salam Street, Tourist Club Area","Al Salam Street, Tourist Club Area",,,Abu Dhabi,AZ,AE,,"(24.4993896484375, 54.3701515197754)",24.4993896484375,54.370151519775391,Arabian Standard Time,240,GMT+04:00 Asia/Dubai,12/08/2013 05:41:59 PM
52,Hamdan Street,Starbucks,34260-17877,02-6261001,LS,Hamdan Street,Hamdan Street,,,Abu Dhabi,AZ,AE,,"(24.2120094299316, 55.6228904724121)",24.212009429931641,55.622890472412109,Arabian Standard Time,240,GMT+04:00 Asia/Muscat,12/08/2013 05:41:59 PM
60,Mercato Town Centre,Starbucks,34284-65720,04-3449611,LS,Jumeira Road,Jumeira Road,,,Dubai,DU,AE,,"(25.2168598175049, 55.2535247802734)",25.216859817504883,55.253524780273438,Arabian Standard Time,240,GMT+04:00 Asia/Dubai,12/08/2013 05:41:59 PM
61,Deira City Center Mall,Starbucks,34209-17918,042958543,LS,Deira,Deira,,,Dubai,DU,AE,,"(25.2541198730469, 55.3313217163086)",25.254119873046875,55.331321716308594,Egypt Standard Time,120,GMT+04:00 Asia/Dubai,12/08/2013 05:41:59 PM
62,Bukhatir Tower,Starbucks,34253-62541,06-5560572,LS,Sharjah Buheira Corniche,Sharjah Buheira Corniche,,,Sharjah,SH,AE,,"(25.3342761993408, 55.375862121582)",25.33427619934082,55.375862121582031,Arabian Standard Time,240,GMT+04:00 Asia/Dubai,12/08/2013 05:41:59 PM
